description_id,description_text,language_hint
D001,"🔵 across from Kabale Stanbic Bank, stage ya basi",en
D002,en hault de kabale market,fr
D003,just behind rugby kabale,en
D004,up rom brigade incendie kabale,en
D005,facing Standard Chartered Bank Kabale (bank),en
D006,"devant district administration kabale, stage A",fr
D007,à l'arrière de Kisizi Hospital,fr
D008,en hauet de Kabale Primary School,fr
D009,non loin de posta kabale,fr
D010,"ugereranye na Kabale Red Gate (landmark), Kabale",kin
D011,just behind kabael rugby,en
D012,⚡ facing remand prison kabale (government),en
D013,près de Kabale Rugby Grounds,fr
D014,📦 faicng mutorere hc,en
D015,"behind Kabale General Hospitali, Kabale",en
D016,"🏍️ iruhande rwa Caltex Petrol Station Kabale, ok",kin
D017,📍 besie pharmacy kabale,en
D018,non loin de Kable District Headquarters,fr
D019,"next to rwanda post kabale, Kabale",en
D020,"inyuma ya police kabale, stage ya basi",kin
D021,en haut de artisna centre (market),fr
D022,au-dessus de kbaale referral hospital,fr
D023,🚗 au-dessus de gate rouge,fr
D024,🔵 up from Kabale ost Office (post_office),en
D025,"right next to church kabale (church), bus stop",en
D026,🔴 non loin de Bank of Uganda Kabale Branch,fr
D027,up from immigration office kabale,en
D028,directly opposite centre artisanal,en
D029,at the back of bright drug store (pharmacy),en
D030,just behind masjid kabale,en
D031,facing Kabale Central Market (market),en
D032,behind supermarket,en
D033,just behind kanbale playgrounds,en
D034,iruhande rwa bureau immigration,kin
D035,à proximité de kabale hotel (hotel),fr
D036,"beside kisoro terminus, rKisoro",en
D037,près de kabale sports ground (sports),fr
D038,derrière centre sante mutorere,fr
D039,hejuru ya terrain rugby kabale,kin
D040,"above stanbic kaale, Kabale, bus stop",en
D041,🔵 next to crane kabale,en
D042,hejuru ya kabale market,kin
D043,au-dessus de lango nyekundu,fr
D044,✅ hejuru ya conseil municipla kabale,kin
D045,face à airtel shop kabale,fr
D046,🏍️ boehind rn3 crossroads,en
D047,en face de airtel shop kabale,fr
D048,à proximité de technical school kabale (school),fr
D049,à l'arrière de viewpoint kabale,fr
D050,directly opposite jail kabale,en
D051,hagati ya porte rouge kabale,kin
D052,"📦 across from Ntungamo Town Masrket, si vous plait",en
D053,juste à côtoé de prison centrale kabale,fr
D054,hejuru ya referral hospital kabale,kin
D055,près de Kabale Rugby Grounds,fr
D056,"at the back of roman catholic kabale, pliz",en
D057,"hejuru ya pharmacie rbight, attention",kin
D058,inyuma ya kabale super,kin
D059,à proximité de Standard Chartered Bank Kabale,fr
D060,beside kabale police (police),en
D061,close to Kabale Prison Main Gate,en
D062,hafi ya Kabale Post Office,kin
D063,à proximité de municipality kabale,fr
D064,hejruu ya kabale hill,kin
D065,"up from rubanda hc, bus stop",en
D066,"à proximité de shopping kabale (mall), Kabale",fr
D067,"hafi ya immigration kabale, terminus local",kin
D068,"🔵 à l'arrière de health centre mutorere, stage ya basi",fr
